Longitude;Latitude;Lote;Conjunto de datos;Producto;Id obj.;Distancia(m);Curso(deg);Duración(s);Elevación(m);Tiempo;Cuenta de área;Anch. de fja.(m);Desviación Y(m);Flj cultivos(M)(tonne/h);Humedad(%);Masa de rend.(húmedo)(tonne/ha);(húmedo)Vol. Rend. (húmedo)(L/ha);(seco)Masa de rend.(tonne/ha);Vol. de rend.(seco)(L/ha);Humedad(%);Temp. aire(°C);Velocidad del viento(km/h);Temp. suelo(°C);Num. de paso;Velocidad(km/h);Prod.(ha/h);Flj cultivos(V)(m³/s);Fecha
-56,56184201;-33,76494806;Sauce Chico;Harvest;1;51;1,371;325,21;1,000;153,63;21/11/2023;Activado;10,67;0,00;37,85;6,630;7,187;10736;7,187;10736;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,016;21/11/2023
-56,56185053;-33,76493799;Sauce Chico;Harvest;1;52;1,371;325,06;1,000;153,62;21/11/2023;Activado;10,67;0,00;41,46;6,630;7,874;11762;7,874;11762;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,017;21/11/2023
-56,56185878;-33,76492783;Sauce Chico;Harvest;1;53;1,361;325,31;1,000;153,60;21/11/2023;Activado;10,67;0,00;39,92;6,630;7,637;11408;7,637;11408;0,00;-17,78;0,00;-17,78;1;4,900;5,227;0,017;21/11/2023
-56,56186734;-33,76491772;Sauce Chico;Harvest;1;54;1,371;325,18;1,000;153,60;21/11/2023;Activado;10,67;0,00;38,77;6,620;7,362;10997;7,362;10997;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,016;21/11/2023
-56,56187569;-33,76490755;Sauce Chico;Harvest;1;55;1,371;325,36;1,000;153,56;21/11/2023;Activado;10,67;0,00;35,82;6,630;6,803;10162;6,803;10162;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,015;21/11/2023
-56,56188401;-33,76489744;Sauce Chico;Harvest;1;56;1,361;325,32;1,000;153,54;21/11/2023;Activado;10,67;0,00;37,01;6,630;7,081;10578;7,081;10578;0,00;-17,78;0,00;-17,78;1;4,900;5,227;0,015;21/11/2023
-56,56189209;-33,76488709;Sauce Chico;Harvest;1;57;1,371;325,83;1,000;153,52;21/11/2023;Activado;10,67;0,00;31,85;6,630;6,050;9036,9;6,050;9036,9;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,013;21/11/2023
-56,56190019;-33,76487687;Sauce Chico;Harvest;1;58;1,361;326,07;1,000;153,51;21/11/2023;Activado;10,67;0,00;36,68;6,630;7,018;10483;7,018;10483;0,00;-17,78;0,00;-17,78;1;4,900;5,227;0,015;21/11/2023
-56,56190829;-33,76486663;Sauce Chico;Harvest;1;59;1,361;326,11;1,000;153,51;21/11/2023;Activado;10,67;0,00;32,41;6,630;6,201;9262,7;6,201;9262,7;0,00;-17,78;0,00;-17,78;1;4,900;5,227;0,013;21/11/2023
-56,56191643;-33,76485641;Sauce Chico;Harvest;1;60;1,361;326,34;1,000;153,52;21/11/2023;Activado;10,67;0,00;39,56;6,640;7,568;11306;7,568;11306;0,00;-17,78;0,00;-17,78;1;4,900;5,227;0,016;21/11/2023
-56,56192428;-33,76484617;Sauce Chico;Harvest;1;61;1,351;326,68;1,000;153,53;21/11/2023;Activado;10,67;0,00;36,17;6,640;6,970;10412;6,970;10412;0,00;-17,78;0,00;-17,78;1;4,864;5,189;0,015;21/11/2023
-56,56193202;-33,76483575;Sauce Chico;Harvest;1;62;1,361;327,13;1,000;153,54;21/11/2023;Activado;10,67;0,00;41,49;6,630;7,937;11856;7,937;11856;0,00;-17,78;0,00;-17,78;1;4,900;5,227;0,017;21/11/2023
-56,56193965;-33,76482532;Sauce Chico;Harvest;1;63;1,351;327,54;1,000;153,56;21/11/2023;Activado;10,67;0,00;43,82;6,630;8,446;12616;8,446;12616;0,00;-17,78;0,00;-17,78;1;4,864;5,189;0,018;21/11/2023
-56,56194732;-33,76481489;Sauce Chico;Harvest;1;64;1,361;327,82;1,000;153,55;21/11/2023;Activado;10,67;0,00;42,42;6,630;8,114;12121;8,114;12121;0,00;-17,78;0,00;-17,78;1;4,900;5,227;0,018;21/11/2023
-56,56195519;-33,76480460;Sauce Chico;Harvest;1;65;1,351;327,70;1,000;153,56;21/11/2023;Activado;10,67;0,00;38,81;6,640;7,480;11174;7,480;11174;0,00;-17,78;0,00;-17,78;1;4,864;5,189;0,016;21/11/2023
-56,56196500;-33,76479541;Sauce Chico;Harvest;1;66;1,371;324,89;1,000;153,56;21/11/2023;Activado;10,67;0,00;35,14;6,640;6,673;9968,8;6,673;9968,8;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,015;21/11/2023
-56,56197436;-33,76478577;Sauce Chico;Harvest;1;67;1,381;323,68;1,000;153,53;21/11/2023;Activado;10,67;0,00;35,14;6,660;6,625;9896,3;6,625;9896,3;0,00;-17,78;0,00;-17,78;1;4,972;5,304;0,015;21/11/2023
-56,56198289;-33,76477586;Sauce Chico;Harvest;1;68;1,351;323,94;1,000;153,53;21/11/2023;Activado;10,67;0,00;31,61;6,700;6,092;9100,1;6,092;9100,1;0,00;-17,78;0,00;-17,78;1;4,864;5,189;0,013;21/11/2023
-56,56199127;-33,76476569;Sauce Chico;Harvest;1;69;1,371;324,37;1,000;153,51;21/11/2023;Activado;10,67;0,00;32,22;6,740;6,119;9140,9;6,119;9140,9;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,013;21/11/2023
-56,56199957;-33,76475526;Sauce Chico;Harvest;1;70;1,391;325,01;1,000;153,46;21/11/2023;Activado;10,67;0,00;33,95;6,770;6,355;9492,5;6,355;9492,5;0,00;-17,78;0,00;-17,78;1;5,008;5,342;0,014;21/11/2023
-56,56200777;-33,76474490;Sauce Chico;Harvest;1;71;1,381;325,52;1,000;153,42;21/11/2023;Activado;10,67;0,00;40,07;6,570;7,554;11285;7,554;11285;0,00;-17,78;0,00;-17,78;1;4,972;5,304;0,017;21/11/2023
-56,56201610;-33,76473436;Sauce Chico;Harvest;1;72;1,401;325,71;1,000;153,36;21/11/2023;Activado;10,67;0,00;37,08;6,580;6,891;10294;6,891;10294;0,00;-17,78;0,00;-17,78;1;5,044;5,381;0,015;21/11/2023
-56,56202480;-33,76472404;Sauce Chico;Harvest;1;73;1,401;325,40;1,000;153,32;21/11/2023;Activado;10,67;0,00;44,75;6,800;8,316;12423;8,316;12423;0,00;-17,78;0,00;-17,78;1;5,044;5,381;0,019;21/11/2023
-56,56203327;-33,76471360;Sauce Chico;Harvest;1;74;1,401;325,49;1,000;153,30;21/11/2023;Activado;10,67;0,00;42,80;6,800;7,955;11883;7,955;11883;0,00;-17,78;0,00;-17,78;1;5,044;5,381;0,018;21/11/2023
-56,56204132;-33,76470294;Sauce Chico;Harvest;1;75;1,401;326,35;1,000;153,27;21/11/2023;Activado;10,67;0,00;54,72;6,800;10,17;15192;10,17;15192;0,00;-17,78;0,00;-17,78;1;5,044;5,381;0,023;21/11/2023
-56,56204941;-33,76469224;Sauce Chico;Harvest;1;76;1,401;327,19;1,000;153,25;21/11/2023;Activado;10,67;0,00;43,82;6,790;8,144;12165;8,144;12165;0,00;-17,78;0,00;-17,78;1;5,044;5,381;0,018;21/11/2023
-56,56205777;-33,76468155;Sauce Chico;Harvest;1;77;1,421;327,51;1,000;153,20;21/11/2023;Activado;10,67;0,00;46,54;6,790;8,528;12739;8,528;12739;0,00;-17,78;0,00;-17,78;1;5,116;5,458;0,019;21/11/2023
-56,56206617;-33,76467136;Sauce Chico;Harvest;1;78;1,371;327,20;1,000;153,20;21/11/2023;Activado;10,67;0,00;37,21;6,790;7,067;10557;7,067;10557;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,015;21/11/2023
-56,56207455;-33,76466144;Sauce Chico;Harvest;1;79;1,351;326,59;1,000;153,23;21/11/2023;Activado;10,67;0,00;37,36;6,790;7,201;10757;7,201;10757;0,00;-17,78;0,00;-17,78;1;4,864;5,189;0,016;21/11/2023
-56,56208324;-33,76465154;Sauce Chico;Harvest;1;80;1,361;326,03;1,000;153,26;21/11/2023;Activado;10,67;0,00;33,13;6,790;6,338;9467,5;6,338;9467,5;0,00;-17,78;0,00;-17,78;1;4,900;5,227;0,014;21/11/2023
-56,56209114;-33,76464136;Sauce Chico;Harvest;1;81;1,341;326,49;1,000;153,24;21/11/2023;Activado;10,67;0,00;38,86;6,800;7,545;11272;7,545;11272;0,00;-17,78;0,00;-17,78;1;4,828;5,150;0,016;21/11/2023
-56,56209940;-33,76463111;Sauce Chico;Harvest;1;82;1,371;326,53;1,000;153,25;21/11/2023;Activado;10,67;0,00;33,27;6,820;6,318;9438,1;6,318;9438,1;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,014;21/11/2023
-56,56210764;-33,76462080;Sauce Chico;Harvest;1;83;1,371;326,42;1,000;153,21;21/11/2023;Activado;10,67;0,00;36,07;6,820;6,851;10234;6,851;10234;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,015;21/11/2023
-56,56211591;-33,76461061;Sauce Chico;Harvest;1;84;1,371;326,10;1,000;153,18;21/11/2023;Activado;10,67;0,00;29,69;6,830;5,638;8421,6;5,638;8421,6;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,012;21/11/2023
-56,56212438;-33,76460031;Sauce Chico;Harvest;1;85;1,381;325,65;1,000;153,13;21/11/2023;Activado;10,67;0,00;29,02;6,830;5,472;8174,2;5,472;8174,2;0,00;-17,78;0,00;-17,78;1;4,972;5,304;0,012;21/11/2023
-56,56213297;-33,76458975;Sauce Chico;Harvest;1;86;1,421;325,58;1,000;153,07;21/11/2023;Activado;10,67;0,00;27,16;6,830;4,977;7435,3;4,977;7435,3;0,00;-17,78;0,00;-17,78;1;5,116;5,458;0,011;21/11/2023
